ENSG00000067141	DAP4_2305
ENSG00000067167	DAP1_5839
ENSG00000067177	DAP4_4902
ENSG00000067182	DAP4_3340
ENSG00000067191	DAP2_1032
ENSG00000067225	DAP3_2320
ENSG00000067334	DAP2_3910
ENSG00000067369	DAP3_1949
ENSG00000067445	DAP4_1650
ENSG00000067560	DAP2_2952
ENSG00000067596	DAP3_1109
ENSG00000067606	DAP2_0861
ENSG00000067704	DAP1_4989
ENSG00000067715	DAP1_3712
ENSG00000067798	DAP2_4149
ENSG00000067829	DAP4_2204
ENSG00000067842	DAP3_5057
ENSG00000067955	DAP1_1324
ENSG00000067992	DAP2_0933
ENSG00000068001	DAP2_5073
ENSG00000068078	DAP1_1178
ENSG00000068079	DAP2_3740
ENSG00000068120	DAP2_1015
ENSG00000068305	DAP3_5208
ENSG00000068323	DAP1_5345
ENSG00000068383	DAP3_0401
ENSG00000068394	DAP1_2153
ENSG00000068615	DAP1_1946
ENSG00000068793	DAP4_0269
ENSG00000068796	DAP2_3253
ENSG00000068831	DAP2_5678
ENSG00000068878	DAP1_3930
ENSG00000068971	DAP4_3737
ENSG00000068976	DAP3_6078
ENSG00000069011	DAP4_2988
ENSG00000069122	DAP4_3011
ENSG00000069399	DAP2_3069
ENSG00000069424	DAP1_5884
ENSG00000069482	DAP4_5511
ENSG00000069535	DAP4_1250
ENSG00000069667	DAP2_1333
ENSG00000069696	DAP2_0756
ENSG00000069702	DAP4_3055
ENSG00000069764	DAP4_0884
ENSG00000069849	DAP1_3693
ENSG00000069869	DAP1_0206
ENSG00000069943	DAP4_5389
ENSG00000069956	DAP3_0751
ENSG00000069966	DAP1_4094
ENSG00000069974	DAP1_2383
ENSG00000070019	DAP4_1110
ENSG00000070061	DAP1_3487
ENSG00000070081	DAP1_1640
ENSG00000070087	DAP3_5114
ENSG00000070159	DAP3_5275
ENSG00000070182	DAP1_1321
ENSG00000070367	DAP2_6110
ENSG00000070371	DAP3_5074
ENSG00000070404	DAP2_2926
ENSG00000070413	DAP4_3789
ENSG00000070444	DAP2_1392
ENSG00000070501	DAP3_2326
ENSG00000070540	DAP2_1775
ENSG00000070614	DAP3_5061
ENSG00000070669	DAP2_0822
ENSG00000070718	DAP2_1377
ENSG00000070729	DAP3_4317
ENSG00000070731	DAP1_3397
ENSG00000070759	DAP2_1344
ENSG00000070770	DAP1_2296
ENSG00000070778	DAP2_3347
ENSG00000070808	DAP2_4303
ENSG00000070814	DAP4_5290
ENSG00000070915	DAP2_3936
ENSG00000070961	DAP1_3295
ENSG00000071054	DAP1_0480
ENSG00000071127	DAP3_0042
ENSG00000071242	DAP1_4259
ENSG00000071243	DAP3_0813
ENSG00000071246	DAP2_5973
ENSG00000071462	DAP2_3105
ENSG00000071537	DAP2_6124
ENSG00000071539	DAP1_2811
ENSG00000071553	DAP3_2170
ENSG00000071564	DAP4_3354
ENSG00000071575	DAP1_1601
ENSG00000071655	DAP1_3453
ENSG00000071794	DAP4_1868
ENSG00000071859	DAP3_0780
ENSG00000071889	DAP4_2363
ENSG00000071894	DAP2_6099
ENSG00000071967	DAP1_3841
ENSG00000071991	DAP3_1682
ENSG00000071994	DAP3_4990
ENSG00000072042	DAP1_1079
ENSG00000072062	DAP4_5733
ENSG00000072080	DAP2_0154
ENSG00000072110	DAP2_0744
ENSG00000072134	DAP4_0925
ENSG00000072135	DAP4_0140
ENSG00000072195	DAP1_6012
ENSG00000072201	DAP3_0102
ENSG00000072210	DAP4_5925
ENSG00000072274	DAP3_4934
ENSG00000072310	DAP4_4248
ENSG00000072501	DAP4_3840
ENSG00000072506	DAP1_2952
ENSG00000072518	DAP3_2215
ENSG00000072571	DAP2_5322
ENSG00000072682	DAP2_5551
ENSG00000072694	DAP3_1549
ENSG00000072736	DAP4_0623
ENSG00000072778	DAP4_5768
ENSG00000072786	DAP1_2698
ENSG00000072818	DAP3_5297
ENSG00000072832	DAP2_1559
ENSG00000073008	DAP2_5877
ENSG00000073050	DAP2_3377
ENSG00000073060	DAP3_5366
ENSG00000073111	DAP1_2100
ENSG00000073282	DAP3_5133
ENSG00000073350	DAP1_5911
ENSG00000073464	DAP3_0807
ENSG00000073578	DAP1_1714
ENSG00000073584	DAP3_5834
ENSG00000073614	DAP2_2808
ENSG00000073711	DAP1_6099
ENSG00000073712	DAP1_3533
ENSG00000073754	DAP1_0720
ENSG00000073756	DAP4_2326
ENSG00000073792	DAP2_5874
ENSG00000073849	DAP4_3741
ENSG00000073910	DAP1_1885
ENSG00000073921	DAP1_3087
ENSG00000073969	DAP1_4033
ENSG00000074047	DAP4_3461
ENSG00000074181	DAP1_4176
ENSG00000074201	DAP3_3894
ENSG00000074317	DAP3_5672
ENSG00000074319	DAP2_0630
ENSG00000074370	DAP4_0815
ENSG00000074410	DAP4_4919
ENSG00000074416	DAP3_4250
ENSG00000074590	DAP2_4268
ENSG00000074660	DAP1_1331
ENSG00000074695	DAP2_5710
ENSG00000074800	DAP4_0940
ENSG00000074803	DAP4_5508
ENSG00000074966	DAP3_3931
ENSG00000075043	DAP4_5878
ENSG00000075073	DAP3_1098
ENSG00000075142	DAP3_0913
ENSG00000075151	DAP3_3399
ENSG00000075213	DAP4_0991
ENSG00000075218	DAP2_2501
ENSG00000075223	DAP2_4125
ENSG00000075234	DAP1_5188
ENSG00000075239	DAP1_1382
ENSG00000075340	DAP2_4165
ENSG00000075388	DAP4_3318
ENSG00000075413	DAP4_2856
ENSG00000075415	DAP3_3841
ENSG00000075426	DAP2_2347
ENSG00000075618	DAP4_1984
ENSG00000075624	DAP1_3722
ENSG00000075651	DAP4_2297
ENSG00000075673	DAP4_3632
ENSG00000075711	DAP1_2354
ENSG00000075790	DAP3_4255
ENSG00000075856	DAP1_1377
ENSG00000075891	DAP2_2536
ENSG00000075914	DAP4_0630
ENSG00000075945	DAP2_4857
ENSG00000076003	DAP1_4265
ENSG00000076242	DAP3_5047
ENSG00000076248	DAP3_2927
ENSG00000076258	DAP1_5243
ENSG00000076344	DAP1_1623
ENSG00000076382	DAP1_4872
ENSG00000076554	DAP1_2304
ENSG00000076604	DAP2_3011
ENSG00000076662	DAP2_0775
ENSG00000076685	DAP3_5104
ENSG00000076706	DAP2_4016
ENSG00000076716	DAP3_2021
ENSG00000076864	DAP3_4173
ENSG00000076928	DAP2_5715
ENSG00000076944	DAP3_0800
ENSG00000077044	DAP2_0174
ENSG00000077092	DAP3_1862
ENSG00000077097	DAP1_2768
ENSG00000077150	DAP3_1042
ENSG00000077157	DAP1_2828
ENSG00000077235	DAP3_4229
ENSG00000077238	DAP1_5567
ENSG00000077274	DAP2_5739
ENSG00000077279	DAP4_2390
ENSG00000077312	DAP2_1309
ENSG00000077498	DAP4_2318
ENSG00000077514	DAP2_1145
ENSG00000077522	DAP3_3693
ENSG00000077549	DAP2_4204
ENSG00000077585	DAP2_1990
ENSG00000077721	DAP3_4302
ENSG00000077782	DAP3_6012
ENSG00000077809	DAP2_5348
ENSG00000077942	DAP4_1041
ENSG00000077943	DAP2_6062
ENSG00000078018	DAP3_3375
ENSG00000078053	DAP1_3736
ENSG00000078061	DAP1_2327
ENSG00000078081	DAP1_3019
ENSG00000078098	DAP2_2584
ENSG00000078114	DAP4_4154
ENSG00000078140	DAP4_3028
ENSG00000078142	DAP4_5769
ENSG00000078269	DAP1_5973
ENSG00000078295	DAP4_3934
ENSG00000078304	DAP1_2862
ENSG00000078369	DAP1_2741
ENSG00000078399	DAP4_1946
ENSG00000078403	DAP4_1219
ENSG00000078549	DAP4_4189
ENSG00000078589	DAP4_2166
ENSG00000078596	DAP2_0961
ENSG00000078674	DAP2_5653
ENSG00000078725	DAP1_4185
ENSG00000078900	DAP2_1321
ENSG00000079101	DAP1_3468
ENSG00000079102	DAP1_6041
ENSG00000079112	DAP1_0718
ENSG00000079134	DAP3_3279
ENSG00000079215	DAP2_2324
ENSG00000079246	DAP1_6021
ENSG00000079257	DAP4_4073
ENSG00000079263	DAP2_1676
ENSG00000079277	DAP3_0273
ENSG00000079332	DAP2_3711
ENSG00000079385	DAP3_5091
ENSG00000079435	DAP2_2170
ENSG00000079459	DAP3_5583
ENSG00000079462	DAP2_5934
ENSG00000079557	DAP4_5397
ENSG00000079616	DAP3_4843
ENSG00000079689	DAP2_2768
ENSG00000079739	DAP1_2087
ENSG00000079785	DAP4_2062
ENSG00000079805	DAP2_6078
ENSG00000079819	DAP1_2198
ENSG00000079931	DAP4_5260
ENSG00000079950	DAP1_4228
ENSG00000079999	DAP1_5888
ENSG00000080031	DAP3_1145
ENSG00000080166	DAP2_1203
ENSG00000080293	DAP2_2843
ENSG00000080298	DAP4_4086
ENSG00000080371	DAP2_1862
ENSG00000080493	DAP2_3569
ENSG00000080503	DAP3_3001
ENSG00000080608	DAP3_4209
ENSG00000080618	DAP2_5250
ENSG00000080709	DAP4_0822
ENSG00000080815	DAP4_0121
ENSG00000080819	DAP4_2356
ENSG00000080823	DAP4_0691
ENSG00000080839	DAP4_1746
ENSG00000080845	DAP3_4223
ENSG00000080986	DAP4_1326
ENSG00000081041	DAP1_2167
ENSG00000081051	DAP1_6030
ENSG00000081059	DAP2_4225
ENSG00000081177	DAP2_2868
ENSG00000081181	DAP3_0720
ENSG00000081189	DAP1_1590
ENSG00000081237	DAP2_0171
ENSG00000081277	DAP4_0331
ENSG00000081320	DAP3_4224
ENSG00000081479	DAP1_5009
ENSG00000081770	DAP3_2732
ENSG00000081791	DAP4_2048
ENSG00000081853	DAP2_5744
ENSG00000081985	DAP2_0609
ENSG00000082014	DAP2_2788
ENSG00000082074	DAP1_3158
ENSG00000082153	DAP1_2420
ENSG00000082196	DAP1_1228
ENSG00000082212	DAP2_5643
ENSG00000082293	DAP4_0111
ENSG00000082397	DAP2_2732
ENSG00000082438	DAP3_0654
ENSG00000082458	DAP3_0631
ENSG00000082512	DAP3_3942
ENSG00000082556	DAP4_3824
ENSG00000082641	DAP3_5878
ENSG00000082701	DAP3_4012
ENSG00000082781	DAP4_0752
ENSG00000082898	DAP1_3697
ENSG00000082929	DAP4_5650
